IdGeografia,Departamento,Provincia,Distrito,Zona_Logistica
14,Cajamarca,Cajamarca,Cajamarca,Centro
8,Piura,Piura,Castilla,Norte
12,Lima,Lima,San Martin de Porres,Lima
10,Ica,Ica,Parcona,Centro
2,Lima,Lima,Miraflores,Lima
7,Cusco,Cusco,Wanchaq,Sur
13,Lima,Lima,Ate,Lima
9,Lambayeque,Chiclayo,Pimentel,Norte
3,Lima,Lima,Los Olivos,Lima
1,Lima,Lima,San Isidro,Lima
11,Ancash,Huaraz,Independencia,Centro
5,La Libertad,Trujillo,Victor Larco Herrera,Norte
15,Puno,Puno,Puno,Sur
4,Arequipa,Arequipa,Cayma,Sur
6,Junin,Huancayo,El Tambo,Centro
